,group,day,well,S freq,lambda,total count,corrected total count,BFP,YFP,anc1,anc2,anc3
158,A8,6,A8,0.072730753,2.189614957,16908,41689.5674,8797.836914,7425.364258,3,8,
159,C8,6,A8,0.072730753,2.189614957,16908,41689.5674,8797.836914,7425.364258,3,8,
160,A9,6,A9,0.077226756,2.027740305,13659,31895.3774,8839.118164,7391.373047,3,9,
161,C9,6,A9,0.077226756,2.027740305,13659,31895.3774,8839.118164,7391.373047,3,9,
162,A10,6,A10,0.082086064,2.101913387,17276,41368.85406,8853.8125,7390.347656,4,10,
163,C10,6,A10,0.082086064,2.101913387,17276,41368.85406,8853.8125,7390.347656,4,10,
164,A11,6,A11,0.086713659,2.234606587,17129,42864.55038,8805.225586,7386.672852,4,11,
165,C11,6,A11,0.086713659,2.234606587,17129,42864.55038,8805.225586,7386.672852,4,11,
166,A12,6,A12,0.120326367,1.78149853,14564,31199.24984,8909.381836,7390.85791,4,12,
167,C12,6,A12,0.120326367,1.78149853,14564,31199.24984,8909.381836,7390.85791,4,12,
168,A1,7,C1,0.073028898,1.852972001,14291,31404.05367,8950.466797,7518.878906,1,1,
169,C1,7,C1,0.073028898,1.852972001,14291,31404.05367,8950.466797,7518.878906,1,1,
170,A2,7,C2,0.07916729,1.496309511,12289,23694.69672,8908.68457,7525.727539,1,2,
171,C2,7,C2,0.07916729,1.496309511,12289,23694.69672,8908.68457,7525.727539,1,2,
172,A3,7,C3,0.068100054,1.408437657,14026,26148.77662,8876.825195,7531.668945,1,3,
173,C3,7,C3,0.068100054,1.408437657,14026,26148.77662,8876.825195,7531.668945,1,3,
174,A4,7,C4,0.054781324,1.690126834,16950,35128.77205,8903.130859,7533.390137,2,4,
175,C4,7,C4,0.054781324,1.690126834,16950,35128.77205,8903.130859,7533.390137,2,4,
176,A5,7,C5,0.0602764,1.503396046,13051,25231.68445,8889.333008,7541.822266,2,5,
177,C5,7,C5,0.0602764,1.503396046,13051,25231.68445,8889.333008,7541.822266,2,5,
178,A6,7,C6,0.078319789,1.443465843,17408,32894.51157,8891.224609,7503.737793,2,6,
179,C6,7,C6,0.078319789,1.443465843,17408,32894.51157,8891.224609,7503.737793,2,6,
180,A7,7,C7,0.080205955,1.52596074,19436,37898.07149,8944.301758,7507.912598,3,7,
181,C7,7,C7,0.080205955,1.52596074,19436,37898.07149,8944.301758,7507.912598,3,7,
182,A8,7,C8,0.084226337,1.711763094,15423,32217.25751,8943.288086,7530.11084,3,8,
183,C8,7,C8,0.084226337,1.711763094,15423,32217.25751,8943.288086,7530.11084,3,8,
184,A9,7,C9,0.078140154,1.532689848,20089,39270.91833,8881.621094,7476.023438,3,9,
185,C9,7,C9,0.078140154,1.532689848,20089,39270.91833,8881.621094,7476.023438,3,9,
186,A10,7,C10,0.093222224,1.816206262,18279,39646.62482,8863.485352,7470.454102,4,10,
187,C10,7,C10,0.093222224,1.816206262,18279,39646.62482,8863.485352,7470.454102,4,10,
188,A11,7,C11,0.093389005,1.44921238,17949,33991.61949,8891.020508,7488.772949,4,11,
189,C11,7,C11,0.093389005,1.44921238,17949,33991.61949,8891.020508,7488.772949,4,11,
190,A12,7,C12,0.118369755,1.320723088,17186,30963.38008,8884.016602,7477.63916,4,12,
191,C12,7,C12,0.118369755,1.320723088,17186,30963.38008,8884.016602,7477.63916,4,12,
192,A1,8,E1,0.095117816,2.439682205,18318,48958.74048,8872.956055,7533.736816,1,1,1
193,A2,8,E2,0.086506322,2.022876087,17529,40864.29901,9025.766602,7532.853027,1,2,1
194,A3,8,E3,0.07948821,2.288604447,15678,39929.95248,8970.029297,7551.933594,1,3,1
195,A4,8,E4,0.095608947,3.036942764,16490,52603.15697,8779.213867,7516.896973,2,4,1
196,A5,8,E5,0.091367053,3.008565229,18444,58371.329,8809.870117,7531.881836,2,5,1
197,A6,8,E6,0.092864826,2.501744981,16022,43660.58913,8907.928711,7586.882324,2,6,1
198,A7,8,E7,0.102920832,2.150000484,17456,42478.4755,8987.751953,7655.918457,3,7,1
199,A8,8,E8,0.099667415,2.764063437,15934,47005.58921,8901.25,7608.246582,3,8,1
200,A9,8,E9,0.10183071,2.712373912,20294,58958.52667,8883.837891,7506.875488,3,9,1
201,A10,8,E10,0.126592982,2.696248793,18214,52661.94997,8871.845703,7532.572266,4,10,1
202,A11,8,E11,0.110134627,2.205530428,15184,37635.95777,8958.342773,7610.068848,4,11,1
203,A12,8,E12,0.156867913,2.153757166,15123,36847.3004,8930.845703,7554.302734,4,12,1
204,C1,8,G1,0.092015155,2.18110979,18699,45976.00538,9064.140625,7571.726074,1,1,2
205,C2,8,G2,0.0789376,2.152284532,13264,32301.98548,8969.299805,7564.78125,1,2,2
206,C3,8,G3,0.075904269,2.148642614,18426,44818.64181,8966.676758,7582.296875,1,3,2
207,C4,8,G4,0.0719073,2.413934532,16108,42704.07539,8977.333008,7672.375488,2,4,2
208,C5,8,G5,0.089504537,3.087351795,17614,56980.20011,8809.200195,7555.849121,2,5,2
209,C6,8,G6,0.097260655,2.348787683,18566,48211.01352,8926.524414,7595.427246,2,6,2
210,C7,8,G7,0.100867619,2.674412316,19886,57121.75623,8943.264648,7606.515625,3,7,2
211,C8,8,G8,0.105004497,2.82488245,18141,54477.56347,8928.054688,7588.891113,3,8,2
212,C9,8,G9,0.098285386,2.589753626,17563,49173.77013,8921.291016,7621.299805,3,9,2
213,C10,8,G10,0.126421835,2.867934812,19297,58676.29898,8831.359375,7488.847656,4,10,2
214,C11,8,G11,0.12120928,2.880881736,17236,52605.25872,8844.52832,7497.805176,4,11,2
215,C12,8,G12,0.194138226,3.179278486,16535,54852.07568,8820.019531,7472.460938,4,12,2
216,A1,9,A1,0.077715058,1.541991583,16795,32946.88525,8924.180664,7494.169922,1,1,1
217,A2,9,A2,0.072781531,1.749862653,18095,38324.47455,8844.211914,7464.023926,1,2,1
218,A3,9,A3,0.065473015,1.753754245,17311,36715.53511,8860.088867,7461.498535,1,3,1
219,A4,9,A4,0.075495016,1.774808059,18007,38482.34052,8886.988281,7433.226074,2,4,1
220,A5,9,A5,0.072540389,1.996808882,18868,43594.5246,8838.476563,7431.680664,2,5,1
221,A6,9,A6,0.078139536,1.634215309,17900,36343.21108,8789.142578,7411.192383,2,6,1
222,A7,9,A7,0.086290055,1.242075331,18656,32581.0531,8800.957031,7420.720215,3,7,1
223,A8,9,A8,0.096118866,1.844638186,19437,42586.39679,8786.929688,7374.585938,3,8,1
224,A9,9,A9,0.086391198,1.796757835,16715,36003.46675,8826.477539,7425.207031,3,9,1
225,A10,9,A10,0.107405433,1.434181152,18866,35522.6886,8828.345703,7391.697266,4,10,1
226,A11,9,A11,0.090379372,1.46368882,18578,35378.27856,8767.069336,7399.255371,4,11,1
227,A12,9,A12,0.122334824,1.646916375,17950,36615.95814,8824.208008,7397.023438,4,12,1
228,C1,9,C1,0.085507765,1.61799309,17057,34424.32267,8867.487305,7406.964844,1,1,2
229,C2,9,C2,0.059648005,1.784822435,16950,36353.90133,8860.711914,7481.421875,1,2,2
230,C3,9,C3,0.064779019,1.607268305,17450,35077.58671,8793.415039,7408.09082,1,3,2
231,C4,9,C4,0.051511256,2.246191939,17432,43788.50064,8839.985352,7463.953125,2,4,2
232,C5,9,C5,0.067808619,1.970846314,20131,46098.40774,8891.058594,7446.722656,2,5,2
233,C6,9,C6,0.081001608,1.826718829,14940,32525.92731,8808.110352,7428.845703,2,6,2
234,C7,9,C7,0.121387684,1.678878548,19421,40084.61146,8870.720703,7390.879395,3,7,2
235,C8,9,C8,0.083450701,2.386520519,17253,45343.97447,8863.353516,7439.972656,3,8,2
236,C9,9,C9,0.087706979,1.903105228,16273,36396.06244,8896.795898,7466.354492,3,9,2
237,C10,9,C10,0.11353552,1.993324425,14978,34565.24219,8852.918945,7401.51416,4,10,2
238,C11,9,C11,0.121317162,2.863780857,14840,45069.86276,8798.319336,7448.481934,4,11,2
239,C12,9,C12,0.22860398,2.131798589,14340,34684.38325,8837.896484,7385.463379,4,12,2
240,A1,10,E1,0.078649566,1.865643813,14752,32562.54631,8782.760742,7465.180176,1,1,1
241,A2,10,E2,0.074115765,1.485836133,11159,21430.43134,8765.637695,7339.502441,1,2,1
242,A3,10,E3,0.06781298,1.494044632,13804,26592.91651,8835.689453,7447.78418,1,3,1
243,A4,10,E4,0.072741601,1.556106966,12858,25357.79575,8831.645508,7469.169922,2,4,1
244,A5,10,E5,0.083839074,1.522076011,12026,23415.00566,8832.930664,7446.116699,2,5,1
245,A6,10,E6,0.07344138,1.584537517,11875,23669.67464,8828.183594,7473.081055,2,6,1
246,A7,10,E7,0.085894431,1.51921031,13185,25643.82898,8824.518555,7479.858398,3,7,1
247,A8,10,E8,0.09562967,1.660669365,14910,30569.06102,8819.839844,7460.786621,3,8,1
248,A9,10,E9,0.091105264,1.640545628,13541,27557.27354,8809.193359,7481.648438,3,9,1
249,A10,10,E10,0.095505526,1.52742769,13341,26027.89697,8797.734375,7463.287109,4,10,1
250,A11,10,E11,0.080982274,1.509647332,12334,23902.05516,8814.519531,7476.849121,4,11,1
251,A12,10,E12,0.115429889,1.626902729,13318,26967.14137,8813.802734,7447.815918,4,12,1
252,C1,10,G1,0.085048023,1.598685466,15012,30080.62914,8866.494141,7435.895996,1,1,2
253,C2,10,G2,0.069024996,2.177715571,13558,33298.15016,8849.126953,7490.819824,1,2,2
254,C3,10,G3,0.072745861,1.692538197,14143,29337.11584,8829.116211,7499.763672,1,3,2
255,C4,10,G4,0.060980945,1.720148142,14221,29797.08571,8862.507813,7531.966797,2,4,2
256,C5,10,G5,0.086965573,1.514662111,15044,29209.15871,8920.785156,7531.722168,2,5,2
257,C6,10,G6,0.074272873,1.634372555,15090,30639.71628,8843.657227,7526.128906,2,6,2
258,C7,10,G7,0.104284346,1.530368269,15962,31175.96,8862.891602,7492.941895,3,7,2
259,C8,10,G8,0.081273032,1.674533432,14842,30584.90078,8904.973633,7518.180664,3,8,2
260,C9,10,G9,0.09033164,1.600382284,14392,28856.50242,8890.624023,7519.786133,3,9,2
261,C10,10,G10,0.112260005,1.467986886,13854,26425.66894,8892.598633,7500.96582,4,10,2
262,C11,10,G11,0.136945267,1.711193835,14496,30274.56613,8922.479492,7475.505859,4,11,2
263,C12,10,G12,0.211979837,1.377518169,15004,27638.92081,8827.555664,7469.181641,4,12,2
264,A1,11,A1,0.071839457,1.405526757,12456,23195.70621,8846.180664,7538.310547,1,1,1
265,A2,11,A2,0.062123959,1.661354539,13028,26717.23915,8782.887695,7533.859375,1,2,1
266,A3,11,A3,0.057406833,1.618997842,13092,26432.0286,8792.387695,7540.385742,1,3,1
267,A4,11,A4,0.060760042,1.732737628,12917,27188.73267,8807.865234,7527.271973,2,4,1
268,A5,11,A5,0.069380152,1.561585714,13429,26538.36667,8782.712891,7513.777344,2,5,1
269,A6,11,A6,0.07133139,1.581144553,13516,26906.4738,8858.785156,7511.041992,2,6,1
270,A7,11,A7,0.07685778,1.563995981,13369,26443.67096,8838.277344,7507.827637,3,7,1
271,A8,11,A8,0.082290385,1.561513635,13925,27517.81747,8842.745117,7508.095703,3,8,1
272,A9,11,A9,0.081050847,1.580060694,14024,27906.45767,8839.082031,7490.157715,3,9,1
273,A10,11,A10,0.083936172,1.576125137,12937,25705.60059,8825.547852,7491.651855,4,10,1
274,A11,11,A11,0.070367177,1.561790427,13394,26471.23102,8824.708984,7501.050293,4,11,1
275,A12,11,A12,0.097172862,1.672171785,12596,25934.1035,8820.959961,7474.815918,4,12,1
276,C1,11,C1,0.071280835,1.565712592,13596,26909.97323,8845.204102,7461.179688,1,1,2
277,C2,11,C2,0.062013981,1.673858428,13745,28317.30545,8849.575195,7493.85498,1,2,2
278,C3,11,C3,0.062046525,1.581149242,12996,25871.34846,8847.850586,7512.162598,1,3,2
279,C4,11,C4,0.051204541,1.801740413,13037,28131.2717,8843.299805,7538.55127,2,4,2
280,C5,11,C5,0.071198454,1.523227847,13277,25861.99312,8864.504883,7529.404297,2,5,2
281,C6,11,C6,0.067454185,1.705259845,13593,28327.398,8846.913086,7516.489258,2,6,2
282,C7,11,C7,0.09382351,1.481956418,13294,25492.94033,8844.482422,7494.57959,3,7,2
283,C8,11,C8,0.076204587,1.529747204,13691,26734.12393,8879.725586,7514.526855,3,8,2
284,C9,11,C9,0.076280356,1.580113011,13755,27371.70749,8849.648438,7497.538574,3,9,2
285,C10,11,C10,0.091359443,1.517399291,13576,26386.22117,8833.969727,7499.07373,4,10,2
286,C11,11,C11,0.116263823,1.566710958,13680,27086.35683,8849.556641,7493.890625,4,11,2
287,C12,11,C12,0.167300701,1.385225906,13646,25212.70796,8791.863281,7487.248047,4,12,2
288,A1,12,E1,0.065832503,1.641804142,13609,27708.5251,8773.973633,7476.598633,1,1,1
289,A2,12,E2,0.063397459,1.821035953,13752,29879.04917,8813.356445,7482.784668,1,2,1
290,A3,12,E3,0.055594264,1.914057444,14467,32480.99076,8777.094727,7484.123047,1,3,1
291,A4,12,E4,0.06328864,1.8068298,13784,29797.27276,8807.831055,7495.400879,2,4,1
292,A5,12,E5,0.066552096,1.747548657,14644,30989.48455,8801.222656,7469.101074,2,5,1
293,A6,12,E6,0.070962564,1.810468973,14770,31970.23479,8755.929688,7425.070313,2,6,1
294,A7,12,E7,0.072799121,1.744067355,13599,28741.8812,8819.319336,7453.140625,3,7,1
295,A8,12,E8,0.076196317,1.693975695,13764,28565.94115,8763.428711,7444.071777,3,8,1
296,A9,12,E9,0.07533208,1.633354961,14541,29513.89044,8803.398438,7422.814941,3,9,1
297,A10,12,E10,0.073903461,1.728151632,14411,30283.03584,8806.708008,7445.496094,4,10,1
298,A11,12,E11,0.071785993,1.689360795,13529,28030.92171,8808.067383,7464.166992,4,11,1
299,A12,12,E12,0.099565331,1.451134945,14212,26934.3651,8827.568359,7477.741699,4,12,1
300,C1,12,G1,0.062887196,1.683950525,13980,28908.10436,8844.475586,7405.990234,1,1,2
301,C2,12,G2,0.059846795,1.752592614,13931,29534.38548,8847.223633,7420.822266,1,2,2
302,C3,12,G3,0.055097781,1.793109573,13938,29982.74297,8848.256836,7479.024902,1,3,2
303,C4,12,G4,0.049798675,2.05150033,13110,30862.26342,8846.146484,7502.212402,2,4,2
304,C5,12,G5,0.069973432,1.724399059,13909,29188.37444,8822.591797,7506.829102,2,5,2
305,C6,12,G6,0.061662823,1.832896938,14660,31986.49383,8829.493164,7515.588379,2,6,2
306,C7,12,G7,0.078396801,1.662470667,13780,28271.00051,8828.136719,7500.974121,3,7,2
307,C8,12,G8,0.063104258,1.84141227,13821,30247.15481,8840.420898,7486.303223,3,8,2
308,C9,12,G9,0.066447746,1.629400153,14596,29582.23763,8814.527344,7493.771973,3,9,2
309,C10,12,G10,0.080283588,1.557356834,15077,29747.92582,8875.916992,7504.691406,4,10,2
310,C11,12,G11,0.101674911,1.468167227,12577,23991.52054,8838.666992,7481.354492,4,11,2
311,C12,12,G12,0.138545802,1.405278465,13813,25720.25842,8851.513672,7506.39502,4,12,2