,boot,f,S,L,cov
0,point,1.9017300113138922,1.757946205240386,-0.15218851914487813,0.8164182860336838
1,0,1.8264288494073266,1.5630724104688916,-0.2238543297668547,0.6612976715583146
2,1,1.869657016260278,1.9634581350792464,-0.018428954076456474,1.0142288982721754
3,2,1.9027967563505346,1.7895324424295942,-0.22763732735857262,0.8133180163368889
4,3,1.8974942822294305,1.824864332200517,-0.13912184989494464,0.8724904369870514
5,4,1.9229948477263648,2.000772614074192,0.09299866039857578,1.0987973638097637
6,5,1.9869910287805366,1.751253060669524,-0.18765512319323271,0.7914197856326324
7,6,1.9348723883060717,1.49996650832288,-0.37376900810756164,0.49716676886197964
8,7,1.9725811531762947,1.8006945221252832,-0.2203384727737275,0.8099596402561163
9,8,2.035505376728638,1.8245690490366113,-0.12425311203941501,0.8421410741290596
10,9,1.7597040701492686,1.8049411369328798,-0.05487967324313769,0.8992956604309768
11,10,1.969550583060795,1.6236527940226217,-0.2829768384428622,0.6679625219232301
12,11,2.023193832308212,1.7541947498374957,-0.40107560949800264,0.6991131614279337
13,12,1.9196752573430889,1.723939854937268,-0.24493458674042412,0.7332212265715721
14,13,2.095747395980025,1.938271547376037,-0.030282626228748284,1.0289213524943124
15,14,1.8110661583054042,1.5481521409284187,-0.2576249589708271,0.6262848878788657
16,15,1.8566544688876687,1.4189924524323072,-0.3673442227162692,0.5104991036061705
17,16,1.7212153525403149,1.506219532166516,-0.3590832299025268,0.6000384931154756
18,17,1.9693698865091813,1.7860685910044927,-0.00888535566216008,0.9513336510261626
19,18,1.8349679763229687,1.5294391777994725,-0.4661370249880896,0.5129867803575283
20,19,2.0663197804959768,1.8179670717632754,-0.22072014513749652,0.7768840284390613
21,20,1.919676426215908,1.8687325082058037,-0.09088382728816172,0.9826222553244852
22,21,1.8309582610685744,1.7500966487672116,-0.06773390176410209,0.8613585256839587
23,22,2.1754776526485777,2.0553914393309256,0.11561351139983961,1.1161725683138901
24,23,1.8520648891770135,1.8641322532681912,0.0625606482117823,0.965418459966541
25,24,2.0503093633454883,1.9188108317051897,-0.10544681748477518,0.931740216242636
26,25,1.8817903341812297,1.7680660711004461,-0.12661492656386075,0.8412499160585394
27,26,1.838083760762508,1.5306377357631442,-0.3271654925870196,0.580909366535495
28,27,1.913266699581522,1.716743352024928,-0.31128571311056874,0.7277388568258547
29,28,1.8971121394338595,2.0352260795588912,0.006370405584339549,1.0499771890841332
30,29,1.6435210864663965,2.2372478051503695,0.283462531799301,1.376068250183931
31,30,1.7546064064447122,1.8818607618965757,-0.012458528917377781,1.1266151027407454
32,31,1.8374114580099978,1.7267956208195911,-0.0439641494109991,0.8625004568014982
33,32,1.8133545069663268,1.630430760427159,-0.3469493189982197,0.6270789316449337
34,33,1.9815123505225227,1.846344259503733,-0.13703231326669743,0.8825001633041524
35,34,2.0591540241478787,1.6648929610072778,-0.27352875153533635,0.6893130172820551
36,35,1.9095618188872436,1.7164894040679473,-0.26921577003395675,0.7161896339830774
37,36,1.9698123510557766,1.7834642526782203,-0.19932835861129106,0.7862347890758062
38,37,2.000471713509617,1.7766782238593266,-0.30726259438408093,0.7445570145919486
39,38,1.9251338070441875,1.7768106800440107,-0.24698318145024117,0.7745408452421441
40,39,2.0335465169767057,1.8031967787573184,-0.14180252064465668,0.8168660640207674
41,40,1.7683032114164088,1.7360646968757008,-0.18970855975777648,0.8140548414963642
42,41,1.9177017700846417,1.957511041464907,0.09465697797174813,1.0652288546420703
43,42,1.9360309416991317,1.6430811592520056,-0.3142433667586849,0.6831262790770849
44,43,2.062304832878304,1.9741983875300135,0.12622998526358253,1.0964402913449889
45,44,1.8446525367164246,1.64390645747821,-0.19097301111831588,0.7569473035576221
46,45,2.007921486755328,1.9015893959858385,-0.03272076026207344,0.9681711876888993
47,46,1.857543171816434,2.085023966593072,0.1117591464805237,1.1843085064519716
48,47,2.141148617007435,2.0241356057807134,0.03126708977381862,1.0390860923934873
49,48,2.0739750080837505,2.251505746601217,0.125429660304348,1.2923664825478347
50,49,1.8484461126391216,1.9185859341980307,0.02273714512119693,1.0216181825960013
51,50,1.9267094304433365,1.7917211500294823,-0.45076207488494024,0.6757329334722371
52,51,1.7903253757266697,1.3648969028245475,-0.5728793981863083,0.35783344541260564
53,52,1.9608357290137812,1.8801504230378616,-0.028517345111085866,0.9746101896622665
54,53,2.0436416556311694,1.8826608829229072,0.029414167471275843,1.0132676578069622
55,54,1.855896349204238,1.403345205809584,-0.5216327590550471,0.400113098750073
56,55,1.8550446987994478,2.0012954712495725,0.03227143143806844,1.039791862455956
57,56,1.7253500461309292,1.6864142308284988,-0.13940735569737953,0.8482800597458003
58,57,1.9104402183764255,1.804246655772402,-0.03160579943088443,0.897055015095941
59,58,2.0086856722082045,2.02447089174815,-0.22037353026451598,0.9259472750015877
60,59,1.7009553749005022,1.7468291087817647,-0.10337178536886144,0.8630626414347702
61,60,1.9514489923248408,1.90996022555197,0.07653076773926004,1.0293034195427453
62,61,1.851681411270622,1.4352602549791418,-0.49232216810544777,0.4240467010365231
63,62,1.8043277034228202,1.7170595196734242,-0.1340712538565993,0.7993330394904246
64,63,1.965267484210821,1.936265539627963,-0.2739400668173162,0.8830826623697074
65,64,1.9386395232434703,1.7554803436708133,-0.20736468243555256,0.8054212763366819
66,65,1.8820556818523533,1.8450513342267634,-0.29470535589026625,0.8007681464813958
67,66,2.0278152102862363,1.7404867819228638,-0.29074975566265865,0.7454032677574357
68,67,1.8142281352845566,1.7293938566433196,-0.09584146724418992,0.9377368294133961
69,68,2.0097769796135734,1.8070741447537562,-0.3365971341080232,0.7407744961782425
70,69,1.6772579351559431,1.8276833385839113,0.04656457360262711,0.984525923464926
71,70,1.6792153126536906,1.7074120190132798,-0.07553107690275013,0.8449698327244038
72,71,2.002030484806406,1.6142312770219476,-0.36458964350119677,0.6064994860884159
73,72,1.9494687290630728,2.002967140468878,0.061257343809622,1.0276116227435819
74,73,1.8923248458777786,1.7782411156062403,-0.12808987382220544,0.8350164835000037
75,74,2.043219773959496,1.8076740773580928,-0.10880623049122345,0.8965215997606525
76,75,1.9533534598839362,1.7468183234494452,-0.3338472671730367,0.7038662272189042
77,76,1.7976361482872651,1.6791987567405748,-0.245905451775381,0.7351712569498242
78,77,1.9107179505645602,1.8278845328760838,-0.24396880253880648,0.7949363640846232
79,78,1.968382875070792,1.7077271089205606,-0.2884310146854835,0.7164764963018455
80,79,1.8858992531454546,1.8869946279640393,0.011550823298900049,0.9763451612123261
81,80,2.0418578310041626,1.8237963324059157,-0.21150673724556757,0.8052180652875202
82,81,1.817144043128832,2.1191373261262556,0.16427105765578787,1.2779894989023899
83,82,2.0475802346671714,1.9526203576943788,-0.11439190526194203,0.9265703201723393
84,83,2.0298190421821536,1.8777309779930167,-0.13081678435113067,0.8654272457361918
85,84,1.8461646624928991,1.4509413487193692,-0.36322197089761576,0.5539117924816728
86,85,2.0604798422405306,1.7970543034128532,-0.30411288208062115,0.7210697516029351
87,86,1.6870899211671997,1.4646446668556505,-0.46460585297087226,0.5266493802827984
88,87,1.9171601385995136,1.6480182184798966,-0.4189820522708809,0.5895779927739144
89,88,1.9085997122031366,1.73817409228806,-0.2525891859495749,0.7356419975578252
90,89,1.8252468903819044,1.9808128816563872,0.16883427631709405,1.0979348619182876
91,90,1.9255769144507522,1.882737521811327,-0.1310232141004065,0.9439146857820608
92,91,1.8649874740467922,1.9123107833388109,0.031216232756920172,1.0355191829139108
93,92,1.9214957696691513,2.062284070604808,0.19409470441421817,1.2433324831512613
94,93,1.902009936734575,1.6861482361147548,-0.28133463157201627,0.7024755036694464
95,94,1.908679298713949,1.8659946508502572,0.01925113390000114,0.9555540108199354
96,95,1.7540576783099944,1.6358487749498785,-0.13849571732341268,0.7553653722777111
97,96,2.1135551730018194,1.5692892728034453,-0.3668282448915272,0.5541345678691957
98,97,2.133834706229739,1.979404705272177,-0.018208581148706954,0.9764179129393359
99,98,1.9783775736847211,1.6792230612076677,-0.5166290212192938,0.5448610610661637
100,99,1.8805716730475917,1.7873342123706282,-0.0707549600750858,0.8789668178441247
101,100,1.684598245068056,1.8478917704227265,0.022405955789923764,0.9707380542227761
102,101,2.054398610785575,1.9271323212244587,-0.03464499202714586,0.9522220901937479
103,102,1.9613766661065068,1.9478400792662895,-0.14503473216952284,0.9824235209067006
104,103,1.8263475059590328,2.011857824793233,0.12015563402326841,1.0953229581949198
105,104,2.011388048777047,1.860317528904344,-0.482756047885406,0.6932952080816894
106,105,1.8545701786606135,1.5589593658974505,-0.5083706989663601,0.5223326024853665
107,106,1.8827771003665645,1.4477462768611102,-0.34235913223661096,0.5496774279935192
108,107,2.042409409469289,2.091597545628229,0.060394082577865875,1.1168122511342566
109,108,1.8822920494821682,1.8696090507830485,-0.017203048762999294,0.9335202673899609
110,109,1.9669864021334362,1.811070643853426,-0.07006522056927399,0.8605438709757246
111,110,1.8819058292636384,1.7243221115790672,-0.16934980830130913,0.8171686758481871
112,111,1.7278000737213988,2.0974443330118904,0.21147039207899326,1.2305019053239559
113,112,2.0678481302828455,2.101460867590159,0.018268161621968853,1.1791864669513457
114,113,2.0120949461003206,1.9915633649007225,0.15847745311621642,1.2030750770896683
115,114,1.9919808028400434,1.6770083786656764,-0.3226912867317916,0.6613839371701044
116,115,1.9371033280474723,1.8435469760692593,-0.09191594711566639,0.8904763779481197
117,116,1.9007327198166843,1.6931871872874413,-0.35678072728628824,0.6694724123470226
118,117,1.9282240395061638,2.1920120095519025,0.1972594565765465,1.2890309340814115
119,118,1.7358838133321954,1.7236217739311852,-0.09314862133305661,0.8290953038289981
120,119,1.9019762722147255,1.9841154966773398,-0.15324294550387726,0.948674499692861
121,120,1.8978869680861967,1.8079450307607303,-0.041696295364480364,0.9004669020173103
122,121,1.8606366893419206,1.9618466272061692,0.024349722844942932,1.057447302088192
123,122,2.0420793538504314,1.9109394835648263,-0.08901778950055154,0.9141462500460289
124,123,1.9584396402563575,1.7934765797327206,-0.060752513538130395,0.863056349481016
125,124,1.632109247367014,1.9997363479231618,0.03797879562275858,1.0957861122255033
126,125,1.7431872212040749,1.8892645584127907,-0.029819208992158747,1.009768095143606
127,126,2.012141979676011,1.621784275240734,-0.490326025432346,0.5623041330163201
128,127,1.9678469073045217,2.08544628667845,0.12491812185416797,1.1817334507182453
129,128,2.0090754573729606,1.6772222337408567,-0.4075740517971222,0.6484339022562924
130,129,1.771126802166158,1.9510777319092436,0.1476740697472996,1.1131581623682492
131,130,1.9254620099851016,1.7728563746083266,0.027562634327777526,0.9369633745739342
132,131,1.899166377972923,1.9967606503247615,0.07895675649566262,1.081675812888291
133,132,1.8265884483927948,1.6978259874547084,-0.09526722527159845,0.8191465405548215
134,133,1.9508244075318293,2.13559061526944,0.14778388268904544,1.2523752027724622
135,134,2.084455672343913,1.7556050911509125,-0.23489178036919672,0.7453458277806273
136,135,2.1441591129996396,1.7004257672967713,-0.48553635129716627,0.5349863739439006
137,136,1.8936944064857315,1.681802230806751,-0.07825838262608059,0.8358778101705177
138,137,1.881002029873034,1.6729074331871183,-0.21050417305146596,0.745076875454225
139,138,1.7541221702987035,1.6215656456993972,-0.14978566858944894,0.7991389998274924
140,139,1.8726517915234984,1.8796396358593028,-0.06938045158109042,0.9606798849072539
141,140,2.1035758904516486,1.5929353140810145,-0.37212356838006005,0.587537244146455
142,141,1.943769859227004,1.8653149396929707,-0.07900788632682364,0.9050498221470484
143,142,2.036610499651173,1.7037783552333787,-0.4809569196696252,0.5911808362557551
144,143,1.9621014179844083,1.8508626310527385,-0.0557867240454192,0.9647539185696069
145,144,1.9632395432362018,1.7852852494592493,-0.1839909299726152,0.8226911152464138
146,145,1.9866537700610563,1.8678090074124314,-0.049988516180588964,0.9051128697319333
147,146,1.9046759481234719,1.5637919894644379,-0.4421707680337565,0.5427870964338987
148,147,1.7810045971977502,1.8584645701490456,-0.11549412724902633,0.9149697086406643
149,148,1.6553540692917337,1.5856466004297871,-0.2284234709538379,0.6885308373036798
150,149,1.9511769876994414,1.920028976920558,-0.01461288972777942,0.9839063200855944
151,150,1.7860134730295512,1.8468113268373099,-0.011135818306031832,0.954128956992535
152,151,1.7467384024163188,1.91772006313,-0.07357227201026331,0.9817628798104711
153,152,1.9834185195577672,2.3123122145664485,0.22678732125852022,1.7414949167475673
154,153,1.9899306238723324,1.6068561973687059,-0.39594369696089027,0.6096360504515581
155,154,1.5993990689415778,1.5942913043253748,-0.18734960144359544,0.726687604201947
156,155,1.9172607769645018,1.6187619954752326,-0.40102796235347454,0.603002956885367
157,156,1.8764323224441535,1.8122762155647978,-0.15320575059384733,0.8412750680155451
158,157,2.013557355882315,1.8407091802207478,-0.08946442421266661,0.896591713797719
159,158,2.0279623964925304,1.9613531022051964,-0.10379692585143,0.9781343952929652
160,159,1.8954027929630677,1.753583026795588,-0.2677116897796776,0.7330114863002939
161,160,1.766656808623499,1.9227035798579515,0.0065820655524043694,1.0691317350718483
162,161,1.8804148131614158,1.8820869836940985,-0.05075489368653507,0.928126623851035
163,162,1.8152713723803096,1.7713773849185206,-0.21342088434457454,0.8007409330471513
164,163,1.9601698442434725,1.7219174444410847,-0.1656155395176406,0.8238662188215894
165,164,1.9092505408947815,1.9645155070168798,-0.034340775420764975,1.0272289919856878
166,165,1.940382651520613,1.900401424808223,-0.09714043906159239,0.9161021246587419
167,166,1.6723888377365748,1.5107963594013252,-0.45804661295607385,0.5261916735198632
168,167,1.9472872069945184,1.592590940562715,-0.1645033238113934,0.6999941556844762
169,168,2.02770027188951,2.0494088114083264,0.21802704512704682,1.1920636817253027
170,169,1.8412077297051432,1.6224009538209898,-0.3442150021994057,0.6502596862647397
171,170,1.8551834881321927,1.878955055660553,-0.10097872328306143,0.9471641323155321
172,171,2.0357845353035975,1.6255563078898287,-0.401271285771133,0.5919981560978813
173,172,1.7072629893520008,1.912286167388304,0.07718589281129276,1.0640014793571684
174,173,1.6617960788441182,1.6567105182357122,-0.11114410158682295,0.794238449209467
175,174,1.8674244911409599,1.855963471356882,0.08119079268613517,1.0036050371878846
176,175,1.9258824167560777,2.17403357268345,0.18614975193191866,1.252884538405069
177,176,1.8522020481447674,1.7275207089747493,-0.16060552118729057,0.791702231228221
178,177,1.9561440295627865,1.7334636033954667,-0.2529962500259762,0.7535642077176964
179,178,1.587639843576164,1.4547091971187553,-0.28521019662164115,0.5884235372380845
180,179,1.9084482327794796,2.054535597200919,0.2314040783720331,1.1720932796183208
181,180,2.0906006216705126,2.1181142160801345,0.19770085947012134,1.1749976757051606
182,181,1.9275130796152729,1.8550675328775987,-0.11465630502311727,0.9278034044584111
183,182,1.8334717354938674,1.694036431184838,-0.1493397198559283,0.786421407969178
184,183,2.0201230841544313,2.037671105239105,0.036178609930281234,1.064347217695788
185,184,2.0275363474959893,1.8959658262385302,-0.12450222387250735,0.9157515238707832
186,185,1.8276676287976446,1.6588861864617392,-0.21133895564673158,0.757369692452467
187,186,2.0878346114462145,1.7827166310358404,-0.15367915837348697,0.78397076797574
188,187,1.8814554418493865,1.827100999791102,-0.17703548802403035,0.8681157167766275
189,188,2.040246859582923,2.123008132562529,0.10847175520943982,1.1488170345462776
190,189,1.7330370361216012,1.4740075984884002,-0.42381815301792786,0.505091264302062
191,190,1.8676947654126006,1.7077338150251467,-0.12936423805941838,0.7860545050558518
192,191,2.079885330930669,1.6857699903209873,-0.21699888401317313,0.730258214786944
193,192,1.924803349817928,1.8735243490676046,-0.06617257818912145,0.9572156328964818
194,193,1.8086430750356532,1.9259716852791564,0.03477047839150878,1.0252376073620653
195,194,1.9193170253117902,1.9826625184165771,0.07652678134306558,1.08663717977503
196,195,1.9958256588176628,1.8799370978533978,-0.16633717309786675,0.9011381179302898
197,196,1.883133082459547,1.6456543956649172,-0.3195077161509062,0.6599295488456813
198,197,1.8908146999289293,1.6180616777173091,-0.17687600082248997,0.7100465661404262
199,198,1.9564187813306964,1.6703955958855061,-0.24685420242192244,0.7197476655014788
200,199,1.6894046625445585,1.639886199021261,-0.271158702699875,0.69396518049333
201,200,1.984677850044617,1.7410196443500259,-0.3069388272086509,0.7164795883183563
202,201,1.8384442107574706,1.8890852185751494,-0.2510290620139225,0.8331178848815716
203,202,1.8888889800438833,2.1762611694492224,0.25857153173267083,1.2721698556680348
204,203,1.855902135246889,1.87410494039381,0.0224197998364717,0.9938360673038333
205,204,1.9014034217923677,1.6641355102734412,-0.24696090262920678,0.72194270383309
206,205,1.9168953640003954,1.7067779798313691,-0.27100872831744943,0.7123992496006145
207,206,1.961463591210465,1.8281803902114429,-0.10992361593633614,0.9076582373778926
208,207,1.9082821964841936,1.783584902392747,-0.18715530589948426,0.8009350010229295
209,208,1.8654932557433286,1.8508691639898234,-0.038698941377005386,0.950823567838689
210,209,1.8848701572791995,1.7946484913353176,-0.059488524278944736,0.8794156371955745
211,210,2.028988450205516,1.781590102406151,-0.09762262368012979,0.8302115533836839
212,211,1.8447277680177845,1.6740479213144117,-0.3148522373047234,0.6755989762878213
213,212,1.89012706961358,1.812693800360585,-0.21068060579881723,0.7782815076412303
214,213,1.9815203567919268,1.65617603106248,-0.3167544665255516,0.6879431688085992
215,214,1.916503322937952,1.8834865217756616,-0.017529288057964408,0.9457998003553074
216,215,1.7768289263256491,1.6444304467610975,-0.3284791470542224,0.6882463164377866
217,216,1.8603061932508957,1.864112744678009,0.09247560673679213,1.0195476406268755
218,217,1.951230603059159,1.6715223873346465,-0.1934451980122091,0.7571390646946902
219,218,1.6349961082866944,1.5284503954039952,-0.20595861944640464,0.6750371441868428
220,219,1.8470349516207631,1.7161003328404838,-0.10748927077740068,0.8080248726597193
221,220,1.927793354127152,2.1678594101534507,0.2082487392413573,1.233127050798204
222,221,1.8677128775167047,1.609144515703984,-0.265849704155275,0.675462210780736
223,222,2.0025458298836334,1.7720438736063926,-0.1535275159476303,0.8420445628207097
224,223,1.956438608566285,1.9583424846682647,-0.12886081001040167,0.9451941872111657
225,224,1.7566269884407746,1.7414467359897816,-0.09730303999602569,0.8335210997204345
226,225,1.9548610309671375,1.95156437609285,-0.0012591048703863056,1.0551248386250411
227,226,1.767820616578374,1.949376694205257,0.1504460634749856,1.0982768008610955
228,227,2.04170173348587,1.8719227247846684,-0.040490328566221624,0.9130858468707548
229,228,1.9561691105795682,2.011520572966969,0.23212529708614266,1.1749082746854267
230,229,1.773115405881373,1.6772241192752793,-0.11635244824256281,0.8129918969051643
231,230,1.7820397237830965,1.590315275304403,-0.45692798102186993,0.6095127814035679
232,231,2.0300163780535376,1.9427650350270573,0.18286695180808843,1.1259473933926791
233,232,1.7816111887086556,2.014526732012189,0.13529041115082213,1.1426113606494728
234,233,1.7700181882838775,1.6861590956023962,-0.44272359447170934,0.6458354699764711
235,234,1.9863368633371072,1.9946205013272944,-0.03216382935337304,1.0028678936775601
236,235,1.8142173147094383,1.6050083661621692,-0.2023799683377877,0.7030660538183467
237,236,1.8903384254013558,1.7013614048656724,-0.1786414207566251,0.8288873151148735
238,237,1.950970774433023,1.50611349541777,-0.5176936393711777,0.446608132407028
239,238,1.8301638589448679,2.1689007753712053,0.35989235956343474,1.294826758130714
240,239,1.5869733200795613,1.7975771311035225,0.06889374634146318,0.9697196326814457
241,240,2.0651221791168424,1.8047807071924342,-0.19841458970820108,0.8165357473758821
242,241,1.7428412333663277,1.7362541619875518,-0.2327992998135639,0.8021803149184453
243,242,1.8768515450138343,1.5468981873064713,-0.36080974080029526,0.5943249600496464
244,243,2.114512691986259,1.852747378635933,-0.10998758539020023,0.8926653838836618
245,244,2.074794316441706,1.9114904234130032,-0.27600719499142257,0.8451383982242575
246,245,1.9779846379574704,1.7795367568026839,-0.3266322489848808,0.7471238132951971
247,246,2.0315553115009237,1.8877027339995383,-0.03937315207496572,0.9649973275065686
248,247,1.9617341641931043,1.6392993423507787,-0.2636950930616051,0.6520644854191116
249,248,1.8298286857056565,1.7573290779679316,-0.16381645033193346,0.7956986359547634
250,249,1.9963127477783036,1.8729216865634244,-0.3328234332779794,0.7847100389109795
251,250,1.8800620423811347,1.5627963266677918,-0.3216965212545201,0.6131214970549848
